id;default;legal_form;zip_code;sector;year_inc;count_emp;type_pl;sales;gross_performance;gross_profit;earn_from_op;fin_result;oth_interest_inc;oth_interest_exp;result_from_ord_bus;total_result;annual_profit;total_assets;total_liabilities_st;total_liabilities_mt;total_liabilities_lt;bank_liabilities_st;bank_liabilities_mt;bank_liabilities_lt;trade_payables_st;trade_payables_mt;trade_payables_lt;bonds_payables_st;bonds_payables_mt;bonds_payables_lt;total_equity;current_assets;monetary_current_assets;cash;trade_receivables_st;trade_receivables_lt;cf_operating;cf_investment;cf_financing
C_552;0;GmbH;10625;68100;2010;;GKV;10365544.05;10365544.05;7931366.2;565338.94;4854.88;6067.72;1212.84;570193.82;570193.82;568724.9;9713329.26;844831.6;45064.59;0.0;;;;231622.67;;;;;;8823433.07;7715921.82;7749440.79;6802934.01;855343.08;;1051697.31;-366425.37;-5398.26
C_885;0;GmbH;13507;96000;2011;;GKV;40089536.3;40091480.44;1143525.12;280981.07;-11048.33;1066.85;12130.78;269932.74;269932.74;186251.93;2903557.7;2243353.72;0.0;0.0;;;;1804902.44;;;;;;660203.98;2813478.61;2468228.13;55670.64;;;418537.34;-35774.19;-180000.0
C_495;0;Genossenschaft;49413;46610;1919;33.0;GKV;642247.84;1142247.84;579004.16;127198.4;-2000.68;5.69;2006.37;125197.72;125197.72;90613.32;1889096.66;1677987.76;0.0;0.0;;;;976.51;;;;;;211108.9;1814395.33;309832.07;276332.99;;;197604.59;-21474.41;-82.19
C_856;0;GmbH;29308;87100;2007;;GKV;10129943.12;10486827.9;5959584.15;435328.26;-341781.85;;341781.85;93546.41;93546.41;59807.63;9670406.48;3780319.26;2322791.45;1577280.0;1475640.19;1505400.0;1577280.0;1429788.42;;;;;;1990015.77;3451499.64;1352994.01;1349.09;986648.6;;-56012.29;-533257.11;458684.75
C_919;0;GmbH;37083;68200;1960;29.0;GKV;2006000.0;1991000.0;1618000.0;1159000.0;-770000.0;1000.0;771000.0;389000.0;389000.0;335000.0;17549000.0;14572000.0;0.0;0.0;;;;;;;;;;2977000.0;647000.0;352000.0;316000.0;;;768439.89;640.6;-12065679.85
C_376;0;GmbH;37115;70109;2004;;GKV;5751.03;5751.03;5751.03;-424.98;424.98;424.98;;-9.09e-13;-4.55e-13;-9.09e-13;25950.6;950.6;0.0;0.0;;;;;;;;;;25000.0;25950.6;25950.6;;;;4.55e-13;0.0;0.0
C_027;0;GmbH;20095;82999;1977;;GKV;2781452.42;2781452.42;2533657.73;146531.29;-21738.05;1307.73;23045.78;124793.24;124793.24;81789.62;2022190.47;854172.21;825740.72;0.0;258172.12;;;486349.16;;;;;;280415.4;722711.4;802581.47;154591.91;;;258062.06;-1001060.35;604013.74
C_472;0;AG;22083;70109;1994;875.0;GKV;122337.4;122337.4;47896.1;32241.58;-1104.88;;1104.88;31136.7;31136.7;30858.7;38299.53;9967.09;16458.63;0.0;158.43;;;191.53;;;;;;11873.81;19725.03;19725.03;16671.1;;;38944.52;-18956.16;-18565.25
C_389;0;GmbH;21031;68100;1993;;GKV;612714.71;612714.71;191044.64;4422.99;-666.91;;666.91;3756.08;3756.08;1326.25;225178.32;69665.95;11571.7;103235.66;;;;55972.09;;;;;;40705.01;206862.32;194756.41;44256.4;150500.01;;-13228.79;2738.91;-11286.05
C_613;0;AG;22607;62011;2000;70.0;GKV;574420338.0;574699790.1;450423353.8;16898145.14;411149.22;261090.94;837722.43;17309294.36;17657864.83;4.66e-09;150606082.8;125256578.0;0.0;3149906.0;137.2;;;15968160.65;;;;;;22052662.85;120176351.3;120576745.3;1909922.03;74133704.41;;-14812738.47;-8853505.58;18095228.05
C_962;0;GmbH;20537;96090;2001;;GKV;95239.49;95239.49;78586.72;-74668.0;-7111.83;3.17;7115.0;-81779.83;-81779.83;-81779.99;211866.26;6277.96;64068.33;0.0;;;;;;;;33911.06;;141519.97;92691.29;67765.46;44235.67;;;-85459.76;-214.29;181196.48
C_139;0;GmbH;20354;35112;2000;289.0;GKV;644233.92;723240.12;294261.4;125981.53;-4545.32;3217.52;7762.84;121436.21;121436.21;92235.21;799109.32;647618.44;42268.31;0.0;;35674.09;;93996.55;;;;;;109222.57;742956.79;287910.9;51492.92;193168.57;;130708.82;-22530.19;-38957.08
C_103;0;GmbH;21107;10410;2005;137.0;GKV;103632068.9;104603275.3;39557201.29;10487424.07;-752049.34;56949.38;853798.09;9735374.73;9722386.4;7839594.1;76261254.68;30265500.71;9750492.415;8760219.38;2017000.0;6975000.0;6543511.67;1835201.56;;;;;;23028694.1;17208542.6;16972827.36;8687966.95;7366863.62;;32958351.44;-10416461.6;-14308085.97
C_550;1;GmbH;22335;20590;2008;;GKV;29889397.7;30260462.95;16304857.47;-1797873.34;-1133682.94;131022.8;1064805.74;-2931556.28;-4200976.86;-3987554.79;26348913.11;9907649.13;10909267.41;4170631.83;2000095.39;2513659.94;2213582.63;1275420.35;;;;;;1286085.74;6578451.9;2322894.78;468806.02;1760269.49;;-1380032.18;-405230.0;843573.35
C_698;0;GmbH & Co. KG;70567;35113;2001;;GKV;1380599.92;1380599.92;1314522.53;152285.06;-52039.4;3865.62;56675.02;100245.66;102317.66;72432.4;1418049.33;208601.24;3000.0;870908.69;;;850419.69;46983.29;;;;;;335539.4;499141.24;434735.54;373745.74;47515.61;;149932.31;-13394.37;-203011.39
C_655;0;GmbH & Co. KG;25980;47770;2009;25.0;GKV;27977387.15;28020290.99;4597863.94;470496.98;101453.88;146048.56;83441.31;571950.86;571950.86;487886.48;9079382.09;5363240.89;0.0;96977.0;2000514.67;;;652415.17;;;;;;3625194.98;5713279.65;2159931.85;145758.94;1789606.42;;1786352.87;-713197.74;-281224.05
C_377;0;GmbH;20099;70101;2011;;GKV;21914405.94;21914405.94;19141031.49;713518.05;-35503.33;5154.01;40657.34;678014.72;498966.74;276397.34;7022099.42;4899052.8;604424.52;337596.71;;;;465177.65;;;;;;1181025.39;3809036.08;3784409.37;2423991.04;;;748965.2;-276941.22;-473758.88
C_364;0;GmbH;37627;35130;1973;2.0;GKV;291897.81;291897.81;214132.58;19309.7;;;;19309.7;19309.7;19309.7;180375.8;144898.58;0.0;0.0;;;;127812.74;;;;;;35477.22;98268.16;38395.86;9375.05;28806.0;;25524.73;-16738.98;-300.85
C_565;1;KG;37603;77320;1985;;GKV;2077952.79;2861062.79;1713035.9;74610.7;-33653.47;121.39;33774.86;40957.23;40957.23;40036.38;2241807.39;1558452.54;508325.56;75206.0;154655.3;471634.52;75206.0;410256.0;36691.04;;;;;99823.29;2076910.05;834716.96;12632.25;322304.85;;68523.86;-18372.93;151094.47
C_088;0;Sonst. Gewerbetreibende;30900;68200;2000;;GKV;61449468.89;61466917.58;55953365.75;-14746226.93;-1271133.38;4469.82;1275603.2;-16017360.31;-16017360.31;-16151695.75;76947070.4;58794230.8;7300000.0;0.0;;;;1824827.44;;;;;;4687414.51;23745697.75;10286842.67;1927376.93;6904791.31;;13298164.8;-3164678.84;-10967218.68
C_960;0;GmbH & Co. KG;30167;68200;2002;;GKV;1580429.99;1589268.74;995857.41;51640.72;-15345.83;2003.46;17659.29;36294.89;35050.35;31902.96;390099.07;237661.78;30450.0;17500.0;;;;;;;;;;46016.27;304931.86;150673.88;859.63;;;25877.77;-6215.69;-13336.45
C_950;1;GmbH;30625;79110;1992;23.0;GKV;319697.86;318852.13;249417.7;18444.61;-3637.25;6.97;3644.22;14807.36;14807.36;14161.07;96149.34;90736.72;1350.73;4061.89;;;;11280.93;;;;;;;95303.68;66571.69;2508.49;;;32778.86;0.5;-28277.22
C_195;0;GmbH;30165;62011;2004;;GKV;15624177.07;15624177.07;28884221.73;-13264361.39;14962803.46;28463.98;618424.69;1698442.07;1698442.07;170211.7;117377163.2;64781868.24;0.0;0.0;16920000.0;;;1921954.39;;;;;;52595294.94;21231215.98;21058820.13;6915302.93;2464874.96;;5807978.54;-19796351.91;0.0
C_805;0;GmbH;31177;71122;2005;22.0;GKV;496152.3;496152.3;450563.42;17003.79;3179.71;5009.17;1829.46;20183.5;20183.5;13964.51;336211.48;224124.7;0.0;0.0;;;;55811.95;;;;;;112086.78;304770.12;278661.54;67199.68;;;92859.8;-5191.76;-10170.58
C_417;0;GmbH;24145;47111;2008;;GKV;1500.0;1500.0;1500.0;1373.0;1140.0;1140.0;;2513.0;2513.0;2115.35;40999.59;346.8;0.0;0.0;;;;;;;;;;40652.79;40999.59;0.0;;;;4.15e-12;0.0;0.0
C_541;0;GmbH;26892;17210;1985;133.0;GKV;26335655.95;26156551.46;14448931.93;6739185.08;-3448475.13;10662.33;3472573.19;3290709.95;3290709.95;2032891.02;175716314.6;15052054.16;22720219.46;93836942.17;4345580.0;20002402.6;83403483.14;1239365.66;116090.4;104145.07;;;;44107098.84;12708998.85;4774498.23;3527417.3;276178.11;;6405571.73;-11621596.6;6104467.57
C_836;0;GmbH;26506;85424;1998;406.0;GKV;3816679.22;3798730.42;2397288.23;760798.08;-429427.77;4710.67;434194.44;331370.31;325938.44;199479.56;22727119.07;2826226.43;4507548.245;9369436.48;851467.04;3935011.68;8461553.8;186920.2;;;;;;5630648.27;2659159.83;1434511.49;1201245.34;173340.19;;1056584.75;-2486068.07;1268433.03
C_548;0;OHG;49757;16230;2008;;GKV;12699478.65;12702095.11;7830897.74;-6707113.13;-173609.04;1396.91;175005.95;-6880722.17;-6880722.17;6.98e-10;7405778.82;3260506.61;2439272.21;1232000.0;617000.0;2439272.21;1232000.0;1118610.9;;;;;;474000.0;2254106.09;1598509.63;613811.15;488411.32;;-5322316.86;-454223.91;5000989.39
C_452;0;GmbH & Co. KG;23714;46712;1979;;GKV;25048171.66;25063195.71;20085538.27;1098223.46;-93549.48;10131.11;103680.59;1004673.98;1004673.98;996712.35;30806989.43;14812683.77;0.0;0.0;;;;615965.02;;;;;;6652120.67;4714819.11;4000379.15;1474007.75;;;1277188.38;-275147.31;-40584.46
C_000;0;GmbH & Co. KG;24539;47710;1937;129.0;GKV;163882.65;163882.65;135223.31;430.93;-476.04;84.74;560.78;-45.11;-45.11;-45.11;245123.16;220687.56;0.0;0.0;;;;;;;;;;24435.6;91227.84;65717.91;44709.8;20069.05;;82773.66;-110392.49;1.46e-11
C_514;0;Genossenschaft;49324;46230;1901;64.0;GKV;4664755.95;4599454.09;3384253.51;1245422.68;-2934241.56;6621.48;728977.93;-1688818.88;-1689416.88;-2060441.38;25623006.57;3703257.87;3437908.56;12695013.87;1069719.83;3437046.25;12597899.87;106152.12;;;;;;3658118.29;4209184.72;3375557.03;183422.91;125296.67;;-781767.32;2315016.82;-1521614.03
C_792;1;GmbH;49134;52291;1978;;GKV;1033.98;675.43;675.43;-541.09;;;;-541.09;-541.09;-541.09;25000.79;4192.69;14773.18;0.0;;;;;;;;;;6034.92;24994.79;0.0;;;;3282.05;0.0;-3282.05
C_249;0;GmbH;49143;1610;1988;44.0;GKV;362232000.0;362232000.0;153819000.0;25753000.0;156174000.0;6624000.0;906000.0;181927000.0;181927000.0;148644000.0;747242000.0;247289000.0;2337500.0;4279000.0;;;;37976000.0;;;;;;490433000.0;422775000.0;395800000.0;84468000.0;1584000.0;193000.0;147618000.0;-54005000.0;-121097000.0
C_109;0;AG;49076;71110;1995;333.0;GKV;1798640.93;1836662.8;673756.85;73209.55;-31100.54;543.42;31643.96;42109.01;42109.01;36796.12;474414.54;424414.54;0.0;50000.0;103248.13;;;33140.18;;;;;;2.91e-11;371870.96;92170.53;36668.99;;;-7076.29;-52016.47;11055.45
C_975;0;GmbH;49638;46220;1998;;GKV;38299417.93;38299417.93;7523911.97;437184.54;1132100.06;2331.57;14420.42;1569284.6;1569284.6;1324029.76;10402365.3;6421260.7;0.0;234172.5;;;;4077153.05;;;;;;4246932.1;7959596.11;6017362.94;597959.16;;;1731981.15;-500089.24;-1800000.0
C_531;0;GmbH & Co. KG;49134;68202;2002;;GKV;17354380.57;17028511.57;8258413.96;61189.86;-3198.09;186.99;3385.08;57991.77;57991.77;0.0;3506627.67;3640032.58;0.0;0.0;;;;778277.69;;;;;;51214.59;3445423.73;1800599.57;4643.97;475279.56;;-1388728.87;-12834.74;1401797.73
C_321;0;GmbH & Co. KG;49594;28410;1982;;GKV;5329986.1;5457368.1;3978661.38;1916978.38;-1639725.03;77992.03;1717717.06;277253.35;277253.35;385615.31;61543269.26;2282712.76;2166000.0;39337000.0;500172.63;2166000.0;39337000.0;165467.21;;;;;;17757556.5;4468937.49;3872125.18;1894884.1;;;2043375.43;-145346.99;-1339418.8
C_522;0;GmbH;27432;43330;2006;;GKV;1004184.45;1254299.38;518901.27;89704.76;-12998.13;13870.33;26868.46;76706.63;1706.63;461.26;1192622.23;1063281.51;16184.15;0.0;291602.12;;;94466.13;;;;;;113156.57;1132989.39;197428.97;;;;-115038.28;-2386.38;-7365.17
C_961;0;GmbH;26180;38210;2001;;GKV;691709.91;691709.91;172404.6;13704.01;-67.1;;67.1;13636.91;13636.91;9243.64;122906.18;42853.15;0.0;0.0;;;;27669.86;;;;;;80053.03;121903.18;117956.56;41204.59;;;-17345.53;-85.14;-1.46e-11
C_058;0;AG;22926;64200;1971;;GKV;35779300000.0;35779300000.0;1108200000.0;968400000.0;-3200000.0;1400000.0;4600000.0;965200000.0;965200000.0;0.0;2165900000.0;2043000000.0;0.0;2700000.0;;;;455600000.0;;;;;;120200000.0;2140600000.0;1951300000.0;34700000.0;655900000.0;;1601200000.0;-800000.0;-1775700000.0
C_309;0;GmbH;23847;43220;1919;;GKV;667256344.0;668719342.0;266657941.0;-9240774.0;37110802.0;659103.0;6958218.0;27870028.0;20279699.0;0.0;356749425.0;137131787.0;794054.5;99067476.0;;;;;;;;;;118962053.0;144086878.0;5251172.0;125377.0;;;43382564.0;-23571739.0;-19775820.0
C_292;0;GmbH;22926;46370;1893;375.0;GKV;16237291.92;16237291.92;16105702.47;706583.91;-133231.95;;133231.95;573351.96;731536.63;722756.1;20560036.73;3088126.18;217255.5;1958570.0;38294.87;213102.07;1958570.0;836525.33;4153.43;;;;;8953587.49;13751623.66;7504198.19;5940357.48;1217007.59;;1482042.38;-1279519.28;28354.89
C_336;1;GmbH;22880;21200;1963;966.0;GKV;65172278.34;65215458.34;8463739.77;1613029.25;-1519659.32;85832.01;1605491.33;93369.93;93369.93;79239.73;117823221.9;86929187.7;30093417.2;0.0;;;;72823430.74;;;;;;800617.02;113341791.8;24814153.4;69247.58;;;215409.18;-29634.34;-7.45e-09
C_210;0;GmbH & Co. KG;22848;59110;2009;;GKV;40481597.94;40481597.94;25949930.31;1807506.36;-892199.38;;892199.38;915306.98;915306.98;0.0;67929341.41;57662890.6;0.0;5153532.0;;;;375156.38;;;;;;5112918.81;12384069.77;12113469.3;526.77;88563.07;;4701021.4;-4005193.34;-696306.98
C_426;0;GmbH;49824;46210;1992;;GKV;7396889.56;7396889.56;2632172.87;500030.95;-3559.12;;3559.12;496471.83;496471.83;406780.83;1288756.99;508371.21;84310.73;0.0;44404.44;;;220227.2;;;;;;696075.25;1092581.35;505287.35;32685.12;;;396812.23;-91715.0;-303877.77
C_858;0;GmbH;48529;52291;1993;;GKV;497112.63;497112.63;497382.63;271451.09;-173205.88;7665.88;180871.76;98245.21;98245.21;64124.97;2988673.4;236540.27;2068300.17;0.0;182199.0;;;12943.38;;;;;;683832.96;59553.85;6489.18;;;;-44744.65;0.01;126878.94
C_658;0;Sonst. Gewerbetreibende;49835;16230;1998;;GKV;2617485.81;2617485.81;2617926.84;806838.02;-186194.37;93660.83;279855.2;620643.65;620643.65;620643.65;11295266.54;1770110.96;2247204.0;1610868.07;1342668.0;2247204.0;1498116.0;33200.92;;;;;;5667083.51;5328000.81;3579846.51;2403454.79;;;1613554.28;-5424.0;-1420500.47
C_279;1;GmbH;9405;43991;1991;;GKV;28160998.98;28160998.98;28899081.06;12854934.51;-8740058.75;286729.51;9026788.26;4114875.76;4114875.76;3192766.42;141885811.8;10950037.99;123256573.7;0.0;73.9;;;7117922.43;;;;;;7679200.14;140812504.2;72998958.76;941225.29;61171000.0;60476982.56;927788.72;-122991.26;-10000.0
C_510;0;GmbH;9648;28150;1993;281.0;GKV;1270961.55;1270786.75;368445.16;81648.38;-6693.5;0.68;6694.18;74954.88;72534.81;48175.26;634764.7;502968.02;0.0;0.0;;;;;;;;;;131796.68;447135.7;317220.06;64083.65;;;-154633.7;-181760.92;230547.81
C_187;0;GmbH;3042;46743;1991;77.0;GKV;2254257.38;2254257.38;2274765.16;-269558.99;6701846.89;15178.15;64716.71;6432287.9;6432287.9;5763497.91;10502338.27;1335582.59;36897.25;0.0;9115.0;;;43057.46;;;;;;9129858.43;5876746.38;422063.82;421901.82;;;1261308.93;-630081.19;-86311.77
C_971;0;GmbH;3046;46520;1991;;GKV;485.68;485.68;945268.74;140892.95;2242.69;2242.69;;143135.64;143135.64;74000.13;527067.32;57882.32;0.0;0.0;;;;8296.84;;;;;;469185.0;404192.15;406522.01;113748.01;24.61;;-113486.98;-15334.32;5.82e-11
C_030;0;GmbH;1990;43291;1998;;GKV;2341956.89;2341956.89;1009199.89;186569.34;-457.89;5903.84;6361.73;186111.45;186111.45;133467.8;6217316.6;886977.25;279428.77;0.0;29440.98;62072.86;;349174.22;;;;;;4833554.67;2420456.15;2422013.12;1883960.06;196127.34;;-27654.6;-415881.46;-65362.18
C_234;0;GmbH;2977;79100;2007;;GKV;5016925.97;5016925.97;3865731.51;155007.75;-24761.44;48.9;24810.34;130246.31;130246.31;100415.16;987887.19;504644.57;483242.62;0.0;96228.49;;;127048.26;;;;;;;158083.82;76731.69;26997.94;;;274510.35;-106052.05;-171476.89
C_055;0;GmbH;1920;70109;1990;;GKV;753554.11;753554.11;762447.55;320182.94;-8508.85;297.92;8806.77;311674.09;311674.09;218055.83;979447.22;389524.94;0.0;0.0;148793.21;;;138218.29;;;;;;589922.28;754860.65;729812.59;307356.78;405928.3;;82488.15;-2948.02;5.82e-11
C_923;0;GmbH;1728;46731;1991;25.0;GKV;2713942.58;2713942.58;2367031.26;1301411.01;-2891.97;1774.31;4666.28;1298519.04;1298519.04;894972.94;1231424.19;249061.1;0.0;60707.0;;;;39084.66;;;;;;921656.09;1114201.89;1115319.66;721274.78;386129.75;;1338875.32;-47507.75;-734864.58
C_147;0;GmbH;1591;42210;2004;17.0;GKV;104837003.2;101834153.3;53010289.99;1098577.02;-2226646.06;518321.44;2744967.5;-1128069.04;-1497942.04;-1148039.28;103766854.1;49127881.39;0.0;37246529.0;;;;;;;;;;17392443.67;58280725.23;36901408.43;25955968.83;;;7798685.8;-2200617.93;26000.0
C_207;0;GmbH;1640;80100;2004;16.0;GKV;8387539.46;8387539.46;3619402.91;299082.53;-296995.52;13143.71;310139.23;2087.01;2087.01;-7.13e-10;13089094.23;2085300.43;4676868.4;0.0;347700.0;;;142166.17;;;;;;3821393.4;2251199.34;2236855.34;461719.51;;;-440624.85;-616285.29;896829.65
C_651;0;GmbH;1640;47530;2006;;GKV;50879419.68;51088969.6;32870511.27;2581463.77;669730.55;146942.57;389450.15;3251194.32;3251194.32;2091116.76;35675165.95;13484589.06;3238000.0;935494.0;210000.0;3203000.0;374500.0;2526539.76;;;;;;18017082.89;20938551.51;7779817.52;2729217.72;;;7897427.6;-7448369.94;-408620.0
C_306;0;GmbH;1067;47919;2006;;GKV;3398271.43;3388971.43;2504478.22;46036.28;-37735.85;40.0;37775.85;8300.43;8300.43;1142.43;768603.86;600322.84;81619.4;86661.62;198748.2;;;117389.94;;;;;;0.0;548864.14;393335.95;25181.34;;;-78398.48;58223.17;-36584.53
C_063;0;GmbH & Co. KG;1640;56290;2003;;GKV;639218.53;632775.67;479533.51;87105.47;-17291.52;0.01;17295.4;69813.95;69813.95;62249.89;467326.47;405076.58;0.0;0.0;;;;;;;;;;62249.89;105953.04;22614.93;2455.15;7839.51;;63681.44;-5226.04;-62939.03
C_597;0;GmbH;99086;49310;1999;119.0;GKV;22593913.28;22608904.13;27692117.27;363527.57;-84100.04;29878.12;156158.32;279427.53;279427.53;268894.88;27281849.25;2768965.47;1126778.65;3341379.42;193810.45;739643.06;2090358.33;286579.06;;;;;;17640251.11;6126763.78;6196693.35;5048504.84;483749.21;;1044387.96;-747221.0;-196091.06
C_043;0;GmbH;6295;27120;1991;25.0;GKV;;;;;;;;;72143.95;;;762220.11;142465.76;128700.0;;;;;;;;;;;;140866.99;;;;-29748.03;-7007.23;-12566.8
C_796;0;GmbH;6542;46734;1995;;GKV;43009000.0;43315000.0;18994000.0;3605000.0;-388000.0;214000.0;604000.0;3217000.0;3217000.0;0.0;54070000.0;33520000.0;667500.0;325000.0;;;;164000.0;;;;;;17760000.0;21204000.0;14123000.0;;4282000.0;;3396000.0;-6641000.0;3244000.0
C_727;0;GmbH;4103;68201;1990;417.0;GKV;3007478.8;3007478.8;3467731.3;1006179.8;3301857.05;406016.43;129839.0;4308036.85;4308036.85;4224835.41;36266737.05;24476016.61;325000.0;0.0;100005.37;;;;;;;;;11465720.44;12950529.14;12949806.94;10433822.05;161641.84;;1964832.69;-332285.84;-3009431.51
C_787;0;GmbH & Co. KG;4103;68202;1997;;GKV;420465186.3;426394070.9;219843487.5;-5045192.68;-4396681.82;23272.74;4432766.48;-9441874.5;-9441874.5;-9489074.56;259227457.2;98749974.12;38883183.33;80480706.0;27.34;;;31330175.64;;;;;;41113593.78;57032945.41;80594175.23;30123026.79;23492536.68;;48939279.85;-43009552.14;10700000.0
